NhietdoN_SONG,pH_N_SONG,Duc_N_SONG,Mau_N_SONG,SS_SONG,EC_N_SONG,Jartest_N_SONG_KN
29.6,6.9,25,,,56,16
29.7,6.8,20,,,57.2,16
29.1,6.9,16,148,14,55.6,16
29.6,6.9,25,,,56,16
29.7,6.8,20,,,57.2,16
29,6.9,11,102,9,55.7,14
30,7,22,,,59.9,14
29.7,7,16,,,55.9,14
29,6.9,11,102,9,55.7,14
30,7,22,,,59.9,14
29.7,7,16,,,55.9,14
,7,12,102,10,57.2,16
29.8,7,12,,,58,16
29.7,6.9,13,,,58.1,16
29.6,7,14,150,14,56.4,14
30,7,13,,,55.9,14
29.4,7,13,,,55,14
29.5,7,14,128,14,56.3,14
30.1,7,16,,,56.4,14
29.5,7,15,,,55.5,16
29.4,6.9,13,144,15,56,16
29.5,7,15,,,55.4,16
29.7,6.9,16,,,56.3,16
29.1,6.9,21,201,18,55.5,16
29.5,6.9,16,,,55.3,16
29.5,6.9,17,,,54.3,16
29,6.9,18,181,17,52.9,14
29.6,7,16,,,54.3,14
29.5,7,17,,,57.3,14
29.1,7,15,138,11,53.3,16
29.5,7,16,,,55,16
29.5,7,30,259,25,55.8,16
29.1,7,16,135,17,55.6,14
29.4,7,18,,,56.2,14
29,7,24,,,55.7,14
29.1,6.9,15,146,15,56.8,14
29.6,7,18,,,55.9,14
29.7,7,20,,,54.9,14
29.1,6.9,14,142,12,56,14
,6.9,14,,,55.7,14
29.4,6.9,21,175,20,54.7,14
28.8,6.9,17,149,13,55.1,16
29.5,6.9,28,,,56.2,16
29,6.9,20,,,60,16
29.1,6.9,21,202,18,56.8,16
29.4,6.9,21,,,57.4,16
28.8,6.9,32,282,26,59,16
28.6,6.8,22,178,17,57.7,16
29.3,6.9,23,,,58.7,16
28.2,6.9,21,,,60,16
28.8,6.8,19,138,12,60.4,16
29.1,6.8,18,,,58.8,14
28.9,6.9,27,234,21,63.1,14
28.4,6.8,24,203,18,63.2,16
29.2,6.8,23,,,62.1,16
,,30,263,23,62.2,16
28.3,6.9,28,256,28,60.3,16
28.3,6.9,30,,,59.6,16
28.3,6.8,28,,,61.7,16
27.6,6.9,27,222,25,58.7,18
27.9,6.9,26,,,57.9,18
27.4,6.8,26,,,59.5,18
27.1,6.9,22,170,,58.8,18
28.8,6.9,25,,,60.6,16
27.5,6.7,25,,,64.6,16
27.8,6.9,25,210,,61.5,16
28.3,7,39,330,,60.6,18
28,6.9,28,,,64.2,18
28.5,6.9,28,240,,62.6,18
28.5,6.9,24,,,60,18
28,6.9,29,,,62.5,18
28.5,6.9,24,210,,64.1,18
28.9,7,22,,,61.4,16
28,7,30,,,61.8,16
27.7,6.8,22,190,,64.8,16
29.1,6.9,21,,,62.5,16
28.9,6.9,23,,,64.3,16
28.5,6.9,18,160,,65,16
29.4,6.9,25,,,64,16
28.9,6.9,32,290,,64.1,16
28.8,6.9,20,185,,68,16
29.9,6.9,29,250,,63.6,16
29.9,6.9,26,,,63,16
28.7,6.9,22,195,,67.7,16
29.6,6.9,21,,,64.5,16
29.6,6.9,20,,,65.5,16
29,6.9,19,165,,68,16
29.6,7,17,,,65.7,16
30,7,18,,,64.8,16
29.5,7,15,140,,67.1,16
29.8,7,28,,,63.9,16
29.6,7,20,,,62.8,16
29.7,7,20,185,,63.9,16
30,7,18,,,63.8,16
30.3,7,18,,,61.1,16
29.3,7,17,150,,62.3,16
30,6.9,17,,,62,16
28,6.9,17,,,61.2,16
29.4,6.9,15,135,,60,14
30,7,16,,,60.2,14
29.8,7,14,,,60.2,14
29.6,7,11,110,,60.2,16
30,7.1,11,,,60.1,16
29.8,7,15,,,60.1,16
29.7,7,16,140,,60.2,16
30,7.1,17,,,58.4,16
29.4,7.1,15,,,60,16
29.5,7,15,165,,59.2,16
30,7,18,,,58.8,16
29.3,6.9,17,,,60,16
28.9,7,13,130,,60.4,16
30,7,16,,,60,16
29.2,7,14,,,60,16
29.5,6.9,23,200,,61.2,16
28.4,6.9,23,,,64.8,16
28.4,6.9,19,180,,63,18
29.7,7,17,,,60,18
29.7,6.9,25,230,,65.4,18
28.5,6.8,19,200,,70.5,18
29.3,6.9,25,,,60.1,18
29.8,6.9,38,,,62.9,18
29,6.9,24,190,,79.4,20
29.4,6.9,18,,,60,20
28.9,6.9,23,,,64.5,20
28.6,6.9,19,180,,67.3,18
29.7,6.9,20,,,59.9,18
29.5,6.9,26,240,,59.2,18
28.7,6.9,21,190,,62.5,18
29.6,6.9,26,,,60,18
29.6,6.9,26,,,58.9,18
28.4,6.9,28,,,66.9,18
29,6.9,26,,,63.6,18
29.3,7,24,,,59.8,18
28.1,6.9,23,230,,59.8,18
29.2,6.9,20,,,63,18
29.5,7,16,150,,59,18
28.3,6.9,16,145,,58.7,20
29.1,6.9,18,,,60.1,20
28.8,6.9,25,,,60.5,20
28.6,6.9,20,190,,59.1,20
29.7,6.9,21,,,61.4,20
28.2,6.9,19,,,62,20
28.4,6.9,15,156,,59.2,18
28.4,6.9,17,,,60.7,18
29,7,15,,,61.8,18
28.3,6.9,13,125,,59.6,16
28.3,7,19,,,58.5,16
29,6.9,20,,,60.1,16
28.5,6.9,16,160,,59.2,16
29.2,7,15,,,58.1,16
29,7,22,,,60.1,16
28,6.9,17,155,,60.5,14
29.2,7,16,,,59.7,14
29,7,22,,,60.1,14
29.3,7,14,132,,61.2,16
29.5,7.1,15,,,58.7,16
29,6.9,18,,,61.5,16
28.6,6.9,16,145,,62,16
29.2,7,12,,,58.2,16
29,7,23,210,,61.2,16
28.3,6.9,13,125,,64.7,16
29.5,7,13,,,57.4,16
29.2,7,21,210,,60.8,16
29.2,6.9,15,140,,69,16
29.8,7.1,15,,,58.7,16
29.5,7.1,22,200,,57.3,16
28.9,6.9,15,,,70.5,16
28.9,6.9,14,,,56.8,16
28.8,7,21,210,,58.2,16
28.6,6.9,16,180,,64.1,16
29.8,7,16,,,57.2,16
29.5,7,21,195,,60.1,16
29.3,7,18,180,,63.3,18
29.6,7,15,,,59.9,18
29.3,7,15,,,65.1,18
28.8,7,15,175,,59.7,18
30.2,7.1,15,,,58.1,18
29.7,7.2,15,,,57,18
28.6,7.1,16,175,,57.3,18
30.2,7.1,17,,,59.1,18
29.8,7,18,,,56.3,18
29.3,7.1,17,155,,56.8,18
30.3,7.2,16,,,58.5,20
29.5,7.2,14,,,55.2,20
29,7.2,13,135,,56.3,18
29.9,7.1,15,,,59.4,18
29.2,7.2,16,,,55.8,18
29.4,7.1,13,130,,54.4,18
30,7.1,15,,,55.5,18
29.4,7,17,,,56.1,18
29.2,7.1,13,130,,54.8,16
30.1,7.1,15,,,55.7,16
29.4,7.2,14,,,55.4,16
28.9,7.1,12,125,,55.5,18
30,7.2,16,,,55.3,18
29.5,7.1,13,,,58,18
29,7.1,14,120,,56.6,18
30,7.2,19,160,,56.8,18
30,7.1,17,,,62.2,18
29.2,7.1,24,230,,59.6,18
29.2,7.2,20,,,57.7,18
29.2,7.2,35,,,63.7,18
29,7,21,210,,64.4,16
30.3,7.2,19,,,57.6,16
29.7,7.2,25,,,67,16
29.4,6.9,19,185,,78.1,20
30.2,7.1,19,,,59,20
29.7,7.1,31,,,59,20
29.3,6.9,20,210,,93.8,20
29.8,7.1,23,,,59.7,18
30,7,34,,,61.9,18
29.2,6.9,23,230,,82,20
30,7,25,,,61,20
30,7,32,,,58.3,20
29.2,6.9,32,,,74,20
30,6.9,30,,,62.5,20
29.6,7,26,260,,58.6,20
28.9,7,27,250,,57.8,18
29.7,7,23,,,65.7,18
29.6,7.1,25,250,,57.5,18
29,7,23,200,,57.6,16
30.1,7,21,,,68.2,16
29.6,7,31,,,59.1,16
29.5,7,27,220,,58.1,20
29.5,7,26,,,68.7,20
29.6,7.1,22,,,58.7,20
29,7.1,17,155,,57,20
30,7.1,20,,,58.5,20
30,7.1,24,,,57.7,20
29.4,7.2,17,135,,55.2,20
30,7.2,19,,,58.4,20
29.5,7.1,20,,,57.8,20
28.9,7.2,14,130,,56.4,20
29.8,7.2,20,200,,55.8,20
29.5,7.2,20,,,58.5,20
29.1,7.2,14,155,,56,20
30.2,7.2,25,,,55.6,20
30,7.2,22,,,59,20
29.3,7.2,28,270,,56.6,20
29.8,7.2,23,210,,57.4,18
29.6,7,29,,,61,18
28.8,7.1,19,180,,58.4,18
29.3,7,28,,,64,18
28.8,7,20,200,,62.6,18
29.8,7.2,20,,,59.6,22
30.1,7.2,31,,,64.1,22
29.3,7,22,210,,63.6,18
30.5,7.2,23,,,59.6,18
29.8,7.2,34,,,63.1,18
29.3,7,20,200,,65,18
30.3,7.2,24,,,58.5,18
30.1,7,31,300,,59.2,18
29.3,7,20,210,,65.9,20
30.3,7.2,23,,,58.5,20
30.1,7.2,28,,,58.7,20
29.5,7.1,20,210,,66.4,20
29.8,7.1,29,300,,59,20
30,7.2,31,,,58.6,22
29.4,7,24,210,,62.2,20
30.3,7,28,275,,59.5,20
29.5,7.2,37,,,58,20
29.5,7,31,300,,60.8,22
30.5,7,25,,,61.7,22
29.8,7,24,250,,60.4,22
29.6,7,24,250,,58.7,22
30.5,7,19,,,63.9,22
29.9,7,17,,,58.2,22
29,7,21,210,,57.7,18
30.5,7,19,,,62.5,18
30,7.1,21,,,57.5,18
29.6,7,23,230,,58.8,20
30.5,7.1,22,,,60.8,20
30.1,7,17,,,58.7,20
29.6,7.1,14,135,,57,20
30.5,7.1,15,,,59,18
29.6,7.1,16,,,57.2,18
28.8,7,11,120,,58.2,18
30.1,7,14,,,60.6,18
29.7,7,15,,,60.2,18
29.3,7,12,120,,57.8,18
30.2,7,22,200,,60,18
30.7,7.1,20,,,61.7,18
29.8,7,13,145,,58,18
30.6,7,16,,,57.6,18
30.4,6.9,15,,,61.2,18
29.8,7,16,150,,58.8,18
30.2,7,20,,,57.6,16
30.3,7,17,,,60,16
29.4,7,15,150,,59,20
30.6,7.1,14,,,58.6,20
30.6,7,16,,,59.1,20
29.6,7,16,150,,60,20
30.1,7,17,,,59.3,20
30,6.9,20,,,60.2,20
29.8,7,16,160,,60.6,20
30.7,7,17,,,60.1,20
30.1,7,21,,,58.5,20
29.9,7,18,180,,60.9,20
30.2,7,24,,,60.7,20
30.2,7,23,,,59.3,20
29.8,7,25,,,60.6,20
29.6,7,26,,,60.2,20
29.6,7,33,280,,61.7,20
30,6.9,25,210,,65.2,20
30.3,6.9,19,,,64.5,20
30.3,6.9,22,230,,63.2,20
30.3,6.9,20,,,65.3,18
30.6,7,16,,,63.7,18
29.8,7,19,185,,58.7,18
30.8,6.9,16,,,62.8,18
30.8,7,14,,,59,18
29.2,7,14,155,,58.4,18
29.2,6.9,19,,,60.1,18
30,6.9,16,,,57.5,18
29.9,7,14,145,,57.8,16
30.9,7,18,,,58.3,16
30,7,17,,,58.5,16
30.3,7,12,120,,57.6,16
30.5,7,16,,,57.6,16
30.6,7,15,,,56.7,16
30.2,7,12,105,,58.5,18
30.5,7,13,,,57.6,18
29.2,7,10,,,59.4,18
30.1,7,12,130,,58.3,18
30.4,7,23,,,57.5,18
29.5,6.9,15,,,60.6,18
29.8,7,11,110,,59,18
30.7,7,17,,,55.7,20
30.6,7,13,,,59,20
30.3,7.1,13,145,,56.6,20
30.9,7,18,,,54.8,20
30,7,16,,,56.5,20
29.9,7,14,135,,54.2,18
30.3,7,15,,,56.9,18
29.8,7,19,,,55.9,18
29.7,6.9,14,120,,57,16
30.4,7,15,,,59.1,16
30.4,7,14,,,57.5,16
30.1,6.9,12,105,,58.6,18
30.9,6.9,13,,,57.5,18
30.5,7,12,,,56.9,18
30.3,7,13,120,,57.9,18
31.2,7,13,,,55.1,18
30.5,7,21,,,58.6,18
30.5,6.9,17,170,,58,18
31,7,18,,,57.6,16
31,6.8,17,,,58.1,16
30.1,6.9,22,210,,58,20
31.3,7,20,,,58,20
31.2,7,25,,,57.8,20
29.8,7,23,190,,54,18
31.4,7,17,,,56.7,18
31,6.9,15,,,54,16
31,7.1,24,220,,56,16
31.5,7,16,,,57.4,18
30.1,6.9,14,138,,57.4,18
30.4,6.9,15,140,,57.3,18
31,6.9,13,,,58.9,18
30.9,6.9,17,,,58,18
30.6,6.9,16,160,,58.5,16
31.2,6.9,15,,,59.8,16
30.6,7,18,170,,58.4,16
30.8,6.9,13,110,,60.1,16
31,6.9,17,,,62,16
31,6.9,16,,,59.5,16
30.8,7,14,140,,61.1,18
31.3,6.9,20,,,63.2,18
30.5,6.9,15,,,61.7,18
30.6,6.9,10,95,,59.1,16
31.9,7,14,,,58,16
31.9,6.9,11,,,60.2,16
30.2,6.9,11,115,,57,16
31.5,7,14,,,56.5,16
30.9,7,14,,,56.1,16
31,6.9,9,90,,57.7,16
31.8,6.9,14,,,59.7,16
31,6.9,17,,,59.4,16
31.5,7,9,90,,58.8,16
31.8,7,12,,,59.4,18
31.5,7,11,,,58.4,18
30.1,7,14,135,,57.4,18
30.9,6.9,12,,,57.2,18
31,7,12,,,56.6,18
30.8,6.9,11,115,,57.4,18
31.3,6.9,11,,,58,18
31.5,7,16,120,,57,18
30.6,6.9,27,,,58.2,20
31.5,6.9,19,,,60.5,20
31.4,6.9,17,165,,58.8,20
31,6.9,19,185,,58.3,20
32,6.9,13,,,57.6,18
31.9,6.9,11,,,58,18
31.1,6.9,15,125,,55.3,18
32,7,10,,,57,18
31.4,7,10,,,57.9,18
30.9,6.9,10,115,,57,18
31.5,7,11,,,56.9,18
30.8,7,12,,,57.2,18
31,7,10,116,,54.6,18
31.4,7.1,9,,,58,18
30.4,7,8,,,57,18
31.3,7,13,135,,56.2,18
32.3,7,9,95,,55.7,18
31,7.1,9,,,56,18
31.3,7,10,105,,57,18
31,7,11,,,58.7,18
30.2,7,7,,,56.8,18
30.4,6.9,11,115,,58.2,16
31,6.9,12,,,60.3,16
31.7,6.8,11,,,60.6,16
30.8,6.9,10,110,,59.9,16
31.5,6.9,17,,,60.1,16
31.7,6.9,12,,,61.2,16
31.2,6.9,9,100,,60.4,16
32.1,6.9,14,,,61.3,16
32.1,6.8,10,,,62.3,16
31.5,6.9,9,95,,61.5,18
32.5,7,10,,,61.4,18
31.5,6.8,10,,,62.7,18
30.8,6.9,10,115,,60,18
31.5,6.9,20,,,61.7,18
30,6.9,12,,,59.2,18
31.3,6.9,23,220,,58.5,20
31.2,6.8,25,,,67.7,20
30.8,6.8,16,,,62.4,24
29,6.8,14,160,,64,20
29,6.8,13,,,63.7,20
31.5,6.8,12,,,62.4,20
31.6,6.8,20,220,,63.6,20
32.1,6.9,15,,,61,20
31.9,6.8,13,140,,60.5,20
31.3,6.8,17,155,,58.1,18
32.3,6.8,12,,,58.5,18
31,6.9,10,,,58.3,18
31.1,6.9,13,130,,56.3,18
31.5,6.9,13,,,61.2,18
31.5,6.9,12,,,62.5,18
31,6.8,13,130,,58.7,18
30.8,6.8,11,,,61.5,18
30.4,6.8,12,,,62,18
30.1,6.8,21,210,,63,16
30.5,6.8,14,,,64.5,16
30.3,6.9,16,,,60.3,16
29.8,6.8,24,270,,65.2,20
30.8,6.9,13,,,64.7,20
29.8,6.8,12,,,66.5,20
29.4,6.8,14,153,,65.3,20
30.2,6.8,13,,,64.9,20
30.2,6.8,11,,,64.9,20
30.3,6.8,20,190,,66.2,22
30.5,6.8,14,,,67.6,22
29.7,6.7,16,,,70.4,22
30.5,6.7,31,280,,66.7,20
31,6.8,23,,,65.9,24
30.4,6.7,20,,,64.2,20
30.2,6.7,23,200,,61.3,20
31.2,6.8,24,,,61.5,20
30.8,6.8,22,,,61.8,20
30.8,6.7,19,175,,63.7,20
31.1,6.7,20,,,62.5,20
31.1,6.7,19,,,61.9,20
30.8,6.7,14,130,,64.2,18
31.9,6.9,20,,,62.6,18
30.5,6.9,13,,,62.1,18
31.5,6.9,15,160,,60.5,18
31.7,6.8,14,,,64.1,18
31.7,6.9,16,,,61.3,18
30.9,6.9,15,160,,63.7,18
31.6,6.9,17,,,64.5,18
30.5,6.8,18,,,66.2,18
31,6.8,24,,,65.9,18
31.8,6.8,18,,,66.7,18
30.9,6.8,20,,,65.4,18
30,6.8,22,210,,64.6,22
31.7,6.8,21,,,67.1,22
31.2,6.8,20,,,63.5,22
30.6,6.8,32,340,,62.6,22
30.2,6.8,21,,,65.2,22
30.7,6.8,24,200,,63,22
30.7,6.7,29,250,,61.5,20
31.1,6.7,18,,,64.1,20
31.1,6.7,16,,,64.4,20
30.4,6.7,47,420,,67.3,22
31.1,6.7,35,,,69.6,22
31,6.8,34,,,69.4,22
30.6,6.7,36,,,70.3,22
30.6,6.7,30,,,70.9,22
30.8,6.7,28,,,69.7,22
30.6,6.7,36,300,,73.3,22
30,6.7,29,,,77.8,22
30,6.7,29,,,76,22
30.4,6.7,27,230,,75.6,24
30.9,6.8,26,,,75,24
30.2,6.7,28,,,78,24
29.7,6.8,25,220,,72.1,22
31.1,6.7,28,,,79.2,22
30.2,6.7,29,,,78,22
30.6,6.8,20,185,,74.3,22
31.1,6.7,22,,,77.6,24
29.9,6.7,21,,,74.7,24
30.4,6.8,27,240,,75,24
30.4,6.8,30,,,76.9,24
31,6.7,23,,,81.3,24
30.6,6.6,32,270,,82.3,26
31.4,6.7,37,,,80.1,26
31,6.7,31,,,80.7,26
30.7,6.7,32,250,,80.3,26
31.5,6.7,28,,,79.7,26
30.6,6.7,29,,,79.1,26
31.2,6.8,29,260,,83.6,28
30.3,6.8,30,,,80.4,28
31,6.7,24,,,83.4,28
30.8,6.7,22,210,,83.4,28
31.4,6.8,24,,,80.5,28
31.2,6.7,25,,,83.5,28
31.2,6.7,29,240,,84.4,28
31.9,6.8,24,,,82.5,28
31,6.7,21,,,82,28
31.3,6.8,37,,,86.5,28
31.3,6.8,27,,,84.6,28
30.4,6.7,26,,,86.7,28
30.2,6.8,40,,,86.8,28
30.4,6.7,25,,,85.3,28
30.8,6.7,26,,,85.8,28
30.4,6.7,44,,,80.6,28
31.5,6.8,26,,,91.4,30
30.5,6.8,24,,,87.7,30
30.7,6.7,42,340,,77.9,26
31.7,6.7,28,,,91.2,26
31.5,6.8,23,,,83.1,26
30.4,6.7,47,380,,82.6,26
31.3,6.7,25,,,97.6,26
30.3,6.7,27,,,88.1,26
30.5,6.7,38,300,,87.5,28
31.4,6.7,28,250,,96.5,28
31.5,6.7,33,,,92.9,28
30.3,6.8,38,290,,83,30
31.6,6.8,43,,,94,30
30.6,6.6,35,,,94.6,30
30.9,6.9,35,270,,85,30
30.8,6.7,38,,,91.2,30
31,6.7,39,,,83,30
30.8,6.7,27,220,,78.5,28
31.6,6.7,43,,,81.6,28
31,6.6,38,,,81.5,28
30.9,6.7,30,230,,76.5,28
30.9,6.7,42,,,76.6,28
31,6.7,33,,,78.4,28
29.6,6.7,32,250,,77.9,26
30.8,6.7,35,330,,77.9,26
30.5,6.7,31,,,76.5,26
30.6,6.7,30,240,,78.9,28
31.2,6.8,40,,,76.6,28
30.9,6.7,39,,,78,28
30.4,6.7,32,260,,80.2,28
30.5,6.6,37,,,77.9,28
30.7,6.6,43,340,,81.2,28
29.4,6.7,51,380,,81.6,32
30.8,6.7,42,340,,81.3,32
30.8,6.7,42,,,80.6,28
30.3,6.7,67,480,,80,30
31.1,6.8,40,,,80.8,30
31.2,6.7,39,,,80.2,26
30.5,6.7,53,,,78,28
31.5,6.7,42,,,81,28
30.9,6.7,39,,,78.4,28
30.4,6.7,60,480,,78.4,28
30.8,6.8,42,,,83,28
30.6,6.8,40,,,79.1,28
29.6,6.7,55,430,,74.7,28
31.4,6.7,43,,,82.2,28
30.8,6.7,40,,,79,28
30.1,6.7,58,450,,74.8,28
30.8,6.7,49,410,,79.3,28
30.7,6.7,47,,,82,28
30.6,6.7,55,430,,73.8,24
31.1,6.7,47,,,77.6,24
30.1,6.7,45,,,76.4,24
30.6,6.7,55,369,,76.3,26
31.3,6.7,47,,,78,26
31.3,6.7,50,460,,76.9,26
30.2,6.7,55,495,,77.8,30
31,6.9,53,,,78.6,30
31,6.8,54,462,,76,30
30.5,6.8,45,407,34,76.6,28
31.5,6.8,48,,,79.4,28
31.5,6.8,52,,,78,28
30.5,6.9,46,404,36,76.8,30
29.6,6.9,54,,,79.4,30
30.5,6.8,57,490,41,76.6,30
29.8,6.9,50,,,78.5,30
29.4,6.9,49,,,78.3,30
29.8,6.9,51,474,38,74,28
29.5,6.9,64,533,46,75.3,28
29.2,6.9,54,,,76.1,28
29.2,6.9,48,413,37,73.7,28
29.6,6.9,57,498,44,72.3,28
30,6.7,51,423,38,74.9,28
30,6.8,50,421,40,74.4,26
30.4,6.8,55,,,75,26
29.3,6.8,47,,,78.4,26
29.6,6.8,55,484,46,77.4,26
29,6.9,46,,,75.9,26
29.4,6.9,47,405,,76.9,26
29,6.9,67,558,54,79,28
29.7,6.9,52,,,78,28
29.4,6.8,57,,,78.7,28
29.5,6.8,77,,,79,30
30,6.8,54,,,82.4,30
30,6.8,51,,,77.6,28
28.7,6.8,80,678,65,76,28
29.8,6.8,62,,,79,28
29,6.8,64,,,76.7,28
29.4,6.9,88,778,70,78,30
29.3,6.8,66,,,81,30
29.3,6.8,71,620,55,81.8,30
29.6,6.9,98,794,74,75.8,30
30,6.9,75,,,80.6,30
29.8,6.7,66,,,77.4,30
29.8,6.9,66,,,74.1,30
30.3,6.9,61,,,74.5,30
29.9,6.9,74,,,73,30
29.4,6.8,66,568,53,72.2,26
30.3,6.8,70,570,55,69.3,26
29.6,6.9,75,644,56,68.4,26
29.4,6.9,59,505,44,67.1,26
30.1,6.9,63,,,67.2,26
30,6.8,71,622,52,70.4,26
29.7,6.8,59,479,42,68.6,26
30,6.8,55,,,68.8,26
30,6.9,66,,,68.8,26
29.8,6.9,50,450,42,69,26
30.5,6.9,56,,,70.6,26
30.1,6.9,58,,,71.3,26
29.4,6.9,58,495,43,64.5,26
29.4,6.9,54,,,64.8,26
29,6.9,52,,,62,26
29.5,6.9,53,447,39,63.5,26
30.6,6.9,60,,,66.4,26
30,6.8,56,,,63.5,26
30,6.9,52,429,38,62.8,26
30.2,6.9,51,,,63,26
29,7,47,,,67,26
29.6,7,62,494,48,64.8,26
29.5,7,62,,,60.2,26
28.7,6.9,55,,,63.5,26
28.9,6.8,62,,,65.4,24
29.5,6.9,57,,,66.4,24
29.3,6.8,50,392,34,65.2,24
29,6.9,61,505,44,66.5,24
30,6.9,56,,,68.3,24
29.7,6.9,55,,,67,24
29.2,6.8,91,,,62.8,28
29.9,6.8,85,,,64.1,28
29.1,6.8,76,,,65,28
29,6.9,78,,,61.4,26
29.8,6.9,69,,,64.9,26
29.4,6.9,67,,,65,26
29.8,6.9,85,638,62,61.3,30
30.2,6.9,69,,,61.4,30
29.4,6.8,61,,,65,30
29.5,6.9,73,562,52,67.5,30
30,6.9,70,,,73.6,30
28.9,6.9,54,452,40,70.3,30
29.6,6.9,59,,,65.9,30
30,6.9,52,,,70.5,30
30,6.9,55,,,68.2,30
29.2,6.9,65,505,44,68.5,28
29.3,6.8,62,,,68.6,28
29,6.8,61,,,71.9,28
29.3,6.9,51,404,33,66.1,26
29.3,6.9,50,,,66,26
29.1,6.9,52,,,69.6,26
29.2,6.8,49,,,64.2,26
30.2,6.9,50,,,63.3,26
28.9,6.9,65,502,43,65.3,26
28.9,6.9,61,502,41,62,26
28.9,6.9,58,,,61.7,26
29.2,6.9,67,640,46,65.6,26
29.5,6.9,73,614,48,66.2,30
29.6,6.9,64,,,62.8,30
29.3,6.8,66,,,66.7,30
29,6.8,67,550,42,66.6,30
29.9,6.9,70,,,68,32
29.5,6.9,68,,,70.6,32
29.2,6.9,65,532,44,65.3,32
29.3,6.8,63,,,68.6,32
29,6.9,63,,,66.4,32
29.3,6.9,82,640,54,64.8,30
29.7,6.9,85,,,63.4,30
29.3,6.7,84,,,64,30
29.2,6.8,87,690,56,62.6,30
28.9,6.9,93,730,62,65.3,30
28.5,6.9,91,,,63.5,30
28.5,6.9,113,,,62.7,32
29.8,6.9,92,,,65.2,32
29.8,6.9,95,,,62.1,32
28.7,6.8,128,,,63.6,28
28.8,6.8,99,,,66.8,28
29,6.8,99,,,62.6,28
29,6.8,145,1170,120,63.6,32
29.3,6.9,109,972,91,66.3,32
28.8,6.7,97,,,64.6,28
29,6.9,112,930,85,63.4,28
28.5,6.9,91,,,65.6,32
28.7,6.8,88,,,65.4,32
28.6,7,94,812,72,64.5,28
28.6,7,83,706,65,66,28
28.3,7,80,,,70,28
28.4,6.8,66,558,54,69,28
28.3,6.8,65,,,67,28
28,6.8,79,,,71,28
28,6.9,65,557,46,69.3,28
28.2,6.9,62,,,68,28
28.2,6.8,78,,,70.7,28
28,6.9,80,710,58,63.5,28
28.7,6.9,82,,,68.2,28
27.9,6.9,94,,,63.2,28
27.6,6.8,107,980,76,61.4,28
27.6,6.8,99,,,57.7,28
28.5,6.8,110,1020,78,60.9,28
27.5,6.8,104,916,76,57.3,28
27.5,6.8,108,,,58.8,28
28.1,6.8,114,1068,81,61.1,28
28,6.7,105,900,75,55.7,28
28.4,6.7,112,,,52.5,26
28.3,6.8,119,,,52.6,26
28,6.7,122,1090,93,52,26
28.7,6.7,150,1359,114,49.5,26
27.9,6.7,156,1535,121,49,26
28.7,6.6,158,1395,123,48.8,26
28.9,6.7,180,,,48,26
28.4,6.6,169,1596,136,47,26
28.1,6.5,187,,,46.5,26
28.5,6.6,203,,,47.3,28
28,6.6,188,,,45.3,26
28,6.7,175,1590,140,48.4,26
27.8,6.6,191,,,50.1,26
27.8,6.6,180,,,44.7,26
28,6.6,175,1656,142,47,24
28.8,6.6,181,,,50,24
28.8,6.7,165,1590,138,49.3,24
28.2,6.6,156,,,47,20
28.8,6.6,168,,,50.7,20
28.3,6.6,153,1480,120,47.5,20
28.5,6.6,144,1480,107,46,22
28.8,6.6,152,,,48.9,22
28.5,6.7,141,,,49.3,22
28.4,6.7,138,1328,104,47.6,22
28.2,6.7,158,,,54,22
28.3,6.7,139,1224,106,50.8,22
28.5,6.6,146,1230,108,49.8,24
28.6,6.6,151,,,52,24
28.4,6.6,160,,,52,24
28.4,6.6,140,1144,104,48.8,24
28.4,6.7,131,,,51.1,24
28.6,6.7,130,,,52,24
28.6,6.7,122,,,49.3,24
28.7,6.8,127,,,49.2,24
29,6.7,137,,,51,24
28.9,6.7,113,1056,85,49.8,24
28.8,6.8,117,,,52.4,24
28.8,6.8,123,,,52.3,24
28.9,6.8,124,1140,94,53.8,24
29.2,6.8,157,,,49,24
28.4,6.6,188,,,53.8,24
28.7,6.8,144,1320,119,49.1,26
29,6.7,163,1520,140,47.4,26
29.4,6.7,173,,,50.7,26
28.8,6.8,127,,,48.9,24
29.7,6.7,110,,,50,24
29.7,6.7,106,,,53.8,24
29,6.8,86,806,66,52.6,20
28.8,6.9,96,,,48.6,20
28.7,6.8,94,,,49,20
28.2,6.9,105,870,72,48.9,24
28.6,6.8,113,,,52,24
28.8,6.8,109,,,48.2,24
29.5,6.9,106,930,80,50.5,24
29.8,6.9,118,,,52.5,24
28,6.9,112,,,49.7,24
28.2,6.9,121,1050,89,48,22
28.2,6.9,157,1332,114,49.9,22
28.7,6.8,169,1509,127,47.9,22
28.5,6.8,138,,,51.3,24
28.7,6.8,135,,,52.1,24
28.5,6.8,147,,,51.4,24
28.2,6.8,185,,,54.7,26
28.7,6.9,192,,,54.8,26
28.2,6.8,165,1590,135,51.6,26
28,6.9,120,1072,86,50.8,24
28,6.9,125,1083,88,52.9,24
28,6.9,97,846,70,53.3,22
28.1,6.9,102,,,54.3,22
28.1,6.9,99,,,56.1,22
27.4,6.9,92,860,72,53,24
27.8,7,109,,,54,24
28.5,6.9,142,,,55.8,24
28,7,103,950,80,52,24
28.6,7.1,101,,,53.8,24
28.5,6.9,98,,,54.2,24
28.3,7,79,700,62,54.1,24
